PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
8071,LJ-1000,54,44,N,BK-0500,10,N
8104,LJ-1000,50,34,N,BK-0500,16,N
8117,MT-2300,41,38,N,TB-3300,3,N
8137,LJ-1000,36,36,N,LS-0700,0,Y
8141,MT-2300,36,36,N,TB-3300,0,Y
8149,LJ-1000,45,-10,N,LS-0700,55,N
8161,LJ-1000,41,31,N,LS-0700,10,N
8168,MT-2300,43,27,N,TB-3300,16,N
8183,MT-2300,54,34,Y,XX-0000,0,N
8188,LJ-1000,53,53,N,XX-0000,0,N
8192,MT-2300,50,44,N,TB-3300,6,N
8211,TG-1500,44,44,N,BM-3300,0,Y
8215,SL-0100,44,47,N,CM-3100,-3,N
8219,TG-1500,37,37,N,XX-0000,0,N
8230,SL-0100,36,36,N,CM-3100,0,Y
8238,TG-1500,29,29,N,BM-3300,0,Y
8270,TG-1500,41,21,Y,XX-0000,0,N
8276,SL-0100,43,43,N,CM-3100,0,Y
8292,SL-0100,47,27,Y,XX-0000,0,N
8298,SL-0100,52,41,N,CM-3100,11,N
8314,SL-0100,31,31,N,CM-3100,0,Y
8318,TG-1500,52,-20,N,BM-3300,72,N
8326,TG-1500,35,35,N,XX-0000,0,N
8331,SL-0100,39,38,N,CM-3100,1,N
8336,TG-1500,34,34,N,BM-3300,0,Y
8400,CG-0300,44,24,Y,XX-0000,0,N
8415,CG-0300,39,39,N,XX-0000,0,N
8421,SL-0400,22,22,N,XX-0000,0,N
8431,SL-0400,56,38,N,DN-1400,18,N
8455,SL-0400,69,54,N,DN-1400,15,N
8463,CG-0300,44,47,N,DG-1800,-3,N
8468,SL-0400,36,28,N,DN-1400,8,N
8495,CG-0300,40,38,N,DG-1800,2,N
8513,SL-0400,49,29,Y,XX-0000,0,N
8517,CG-0300,57,43,N,DG-1800,14,N
8521,SL-0400,50,51,N,DN-1400,-1,N
8535,JM-4700,50,43,N,DM-0500,7,N
8567,JM-4700,50,27,N,DM-0500,23,N
8591,JM-4700,57,42,N,DM-0500,15,N
8595,CH-2900,49,49,N,CH-2100,0,Y
8614,CH-2900,39,39,N,XX-0000,0,N
8618,JM-4700,54,46,N,DM-0500,8,N
8634,JM-4700,38,38,N,DM-0500,0,Y
8638,CH-2900,39,39,N,XX-0000,0,N
